feature,feature_type,source,allowed_primary_benchmark,missing_count,missing_rate,unique_count,cardinality,constant,near_constant,suspicious_id_like,review_note,value_counts_json,fraud_rate_by_value_json,rare_category_rows,mean,median,std,q05,q25,q75,q95,fraud_mean,fraud_median,non_fraud_mean,non_fraud_median
ea_score,numeric,in_house,True,408,0.21009268795056643,256,,False,False,False,,,,,421.14276401564535,500.0,324.4036344225147,76.65,97.0,704.0,965.0,690.62,895.0,270.520325203252,148.0
identity_rank,numeric,in_house,True,44,0.02265705458290422,382,,False,False,False,,,,,489.06164383561645,484.0,86.12666680344238,356.0,430.0,544.0,645.0,507.6986607142857,502.5,472.39620758483034,465.0
reputation_level,numeric,vendor,True,0,0.0,3,,False,False,False,,,,,1.0298661174047374,1.0,0.17620968550743216,1.0,1.0,1.0,1.0,1.0244941427050054,1.0,1.0348953140578265,1.0
volume_score,numeric,vendor,True,0,0.0,2,,False,False,False,,,,,1.1122554067971164,1.0,0.31576173309259736,1.0,1.0,1.0,2.0,1.0841320553780618,1.0,1.1385842472582253,1.0
result_number,numeric,vendor,True,0,0.0,30,,False,False,False,,,,,3.5998970133882597,1.0,4.581964058275167,1.0,1.0,5.0,13.0,4.3099041533546325,2.0,2.935194416749751,1.0
email_days,numeric,vendor,True,0,0.0,573,,False,False,False,,,,,635.1107106076211,116.0,859.0234313684286,0.0,81.0,1096.0,2514.749999999999,243.15015974440894,82.0,1002.0608175473579,794.0
is_valid,boolean,vendor,True,0,0.0,1,1.0,True,True,False,,"{""1.0"": 1942}","{""1.0"": 0.4835221421215242}",0.0,,,,,,,,,,,
is_connected,boolean,vendor,True,338,0.17404737384140062,1,1.0,False,False,False,,"{""1.0"": 1604, ""__MISSING__"": 338}","{""1.0"": 0.4077306733167082, ""__MISSING__"": 0.8431952662721893}",0.0,,,,,,,,,,,
personal_device,boolean,vendor,True,0,0.0,1,1.0,True,True,False,,"{""1.0"": 1942}","{""1.0"": 0.4835221421215242}",0.0,,,,,,,,,,,
receiving_mail,boolean,vendor,True,747,0.3846549948506694,2,2.0,False,False,False,,"{""0.0"": 120, ""1.0"": 1075, ""__MISSING__"": 747}","{""0.0"": 0.5416666666666666, ""1.0"": 0.521860465116279, ""__MISSING__"": 0.4190093708165997}",0.0,,,,,,,,,,,
