model,feature_configuration,n_features,feature_names,validation_pr_auc,validation_roc_auc,validation_accuracy,validation_balanced_accuracy,validation_precision,validation_recall,validation_f1
xgboost,top_5,5,ea_score|identity_rank|email_days|device_browser_type|type,0.9635760348160046,0.955640402637973,0.9110576923076923,0.9102279301168575,0.9270833333333334,0.8855721393034826,0.905852417302799
catboost,top_5,5,ea_score|identity_rank|email_days|device_browser_type|type,0.9641350515033947,0.9555015619576537,0.9086538461538461,0.9077403679278029,0.9267015706806283,0.8805970149253731,0.9030612244897959
xgboost,top_8,8,ea_score|identity_rank|volume_score|email_days|area_code|device_browser_type|ip_address_loc_country|type,0.9623177618241969,0.9544833969686451,0.90625,0.905414786532454,0.921875,0.8805970149253731,0.9007633587786259
catboost,top_8,8,ea_score|identity_rank|volume_score|email_days|area_code|device_browser_type|ip_address_loc_country|type,0.9597914652129091,0.950433877125998,0.90625,0.9050908249450422,0.9308510638297872,0.8706467661691543,0.8997429305912596
xgboost,top_10,10,ea_score|identity_rank|volume_score|email_days|is_valid|is_connected|area_code|device_browser_type|ip_address_loc_country|type,0.9637961892223433,0.9567511280805276,0.9038461538461539,0.9030892051371051,0.917098445595855,0.8805970149253731,0.8984771573604061
catboost,top_10,10,ea_score|identity_rank|volume_score|email_days|is_valid|is_connected|area_code|device_browser_type|ip_address_loc_country|type,0.9597914652129091,0.950433877125998,0.90625,0.9050908249450422,0.9308510638297872,0.8706467661691543,0.8997429305912596
xgboost,top_12,12,ea_score|identity_rank|reputation_level|volume_score|email_days|is_valid|is_connected|personal_device|area_code|device_browser_type|ip_address_loc_country|type,0.9634817327229807,0.9556404026379729,0.9038461538461539,0.9030892051371051,0.917098445595855,0.8805970149253731,0.8984771573604061
catboost,top_12,12,ea_score|identity_rank|reputation_level|volume_score|email_days|is_valid|is_connected|personal_device|area_code|device_browser_type|ip_address_loc_country|type,0.9606073607150869,0.952308226310309,0.9086538461538461,0.907578387134097,0.9312169312169312,0.8756218905472637,0.9025641025641026
xgboost,all_legitimate_features,14,ea_score|identity_rank|reputation_level|volume_score|result_number|email_days|is_valid|is_connected|personal_device|receiving_mail|area_code|device_browser_type|ip_address_loc_country|type,0.9630263922351264,0.9557098229781326,0.9110576923076923,0.9099039685294458,0.9361702127659575,0.8756218905472637,0.9048843187660668
catboost,all_legitimate_features,14,ea_score|identity_rank|reputation_level|volume_score|result_number|email_days|is_valid|is_connected|personal_device|receiving_mail|area_code|device_browser_type|ip_address_loc_country|type,0.9576263105183009,0.9500867754251996,0.9038461538461539,0.9024412819622816,0.9351351351351351,0.8606965174129353,0.8963730569948186
