model,feature,mean_abs_shap,rank
xgboost,email_days,1.703414797782898,1
xgboost,ea_score,1.1635198593139648,2
xgboost,device_browser_type,0.4888928234577179,3
xgboost,identity_rank,0.3337814509868622,4
xgboost,type,0.3206896185874939,5
xgboost,result_number,0.09932108968496323,6
xgboost,receiving_mail,0.03959192335605621,7
xgboost,volume_score,0.035151705145835876,8
xgboost,area_code,0.007620274089276791,9
xgboost,reputation_level,0.0009816117817535996,10
xgboost,ip_address_loc_country,0.0,11
xgboost,personal_device,0.0,12
xgboost,is_connected,0.0,13
xgboost,is_valid,0.0,14
catboost,email_days,1.1552278312497983,1
catboost,ea_score,0.9402545225957445,2
catboost,device_browser_type,0.4483300972750354,3
catboost,type,0.4408611833507257,4
catboost,identity_rank,0.1656251105166728,5
catboost,area_code,0.13459016178302763,6
catboost,ip_address_loc_country,0.11864772578145,7
catboost,result_number,0.08163173506181484,8
catboost,receiving_mail,0.028273013084745766,9
catboost,volume_score,0.022216089809443947,10
catboost,reputation_level,0.0014672230985369888,11
catboost,personal_device,0.0,12
catboost,is_connected,0.0,13
catboost,is_valid,0.0,14
