model,feature_configuration,n_features,feature_names,validation_pr_auc,validation_roc_auc,validation_accuracy,validation_balanced_accuracy,validation_precision,validation_recall,validation_f1,validation_pr_auc_delta
xgboost,none_removed,14,ea_score|identity_rank|reputation_level|volume_score|result_number|email_days|is_valid|is_connected|personal_device|receiving_mail|area_code|device_browser_type|ip_address_loc_country|type,0.9630263922351264,0.9557098229781326,0.9110576923076923,0.9099039685294458,0.9361702127659575,0.8756218905472637,0.9048843187660668,0.0
catboost,none_removed,14,ea_score|identity_rank|reputation_level|volume_score|result_number|email_days|is_valid|is_connected|personal_device|receiving_mail|area_code|device_browser_type|ip_address_loc_country|type,0.9576263105183009,0.9500867754251996,0.9038461538461539,0.9024412819622816,0.9351351351351351,0.8606965174129353,0.8963730569948186,0.0
xgboost,without_is_valid,13,ea_score|identity_rank|reputation_level|volume_score|result_number|email_days|is_connected|personal_device|receiving_mail|area_code|device_browser_type|ip_address_loc_country|type,0.9625897274710625,0.9543676964017124,0.9086538461538461,0.907578387134097,0.9312169312169312,0.8756218905472637,0.9025641025641026,-0.00043666476406389876
catboost,without_is_valid,13,ea_score|identity_rank|reputation_level|volume_score|result_number|email_days|is_connected|personal_device|receiving_mail|area_code|device_browser_type|ip_address_loc_country|type,0.9582365497907245,0.9498090940645609,0.90625,0.9050908249450422,0.9308510638297872,0.8706467661691543,0.8997429305912596,0.0006102392724235406
xgboost,without_is_connected,13,ea_score|identity_rank|reputation_level|volume_score|result_number|email_days|is_valid|personal_device|receiving_mail|area_code|device_browser_type|ip_address_loc_country|type,0.9625897274710625,0.9543676964017124,0.9086538461538461,0.907578387134097,0.9312169312169312,0.8756218905472637,0.9025641025641026,-0.00043666476406389876
catboost,without_is_connected,13,ea_score|identity_rank|reputation_level|volume_score|result_number|email_days|is_valid|personal_device|receiving_mail|area_code|device_browser_type|ip_address_loc_country|type,0.9582365497907245,0.9498090940645609,0.90625,0.9050908249450422,0.9308510638297872,0.8706467661691543,0.8997429305912596,0.0006102392724235406
xgboost,without_personal_device,13,ea_score|identity_rank|reputation_level|volume_score|result_number|email_days|is_valid|is_connected|receiving_mail|area_code|device_browser_type|ip_address_loc_country|type,0.9625897274710625,0.9543676964017124,0.9086538461538461,0.907578387134097,0.9312169312169312,0.8756218905472637,0.9025641025641026,-0.00043666476406389876
catboost,without_personal_device,13,ea_score|identity_rank|reputation_level|volume_score|result_number|email_days|is_valid|is_connected|receiving_mail|area_code|device_browser_type|ip_address_loc_country|type,0.9582365497907245,0.9498090940645609,0.90625,0.9050908249450422,0.9308510638297872,0.8706467661691543,0.8997429305912596,0.0006102392724235406
xgboost,without_reputation_level,13,ea_score|identity_rank|volume_score|result_number|email_days|is_valid|is_connected|personal_device|receiving_mail|area_code|device_browser_type|ip_address_loc_country|type,0.962388888476379,0.9540437348143006,0.90625,0.9052528057387481,0.9263157894736842,0.8756218905472637,0.9002557544757033,-0.000637503758747382
catboost,without_reputation_level,13,ea_score|identity_rank|volume_score|result_number|email_days|is_valid|is_connected|personal_device|receiving_mail|area_code|device_browser_type|ip_address_loc_country|type,0.9580415273773026,0.9486520883952332,0.9086538461538461,0.907578387134097,0.9312169312169312,0.8756218905472637,0.9025641025641026,0.00041521685900169913
xgboost,without_receiving_mail,13,ea_score|identity_rank|reputation_level|volume_score|result_number|email_days|is_valid|is_connected|personal_device|area_code|device_browser_type|ip_address_loc_country|type,0.9636119611618544,0.9559180839986117,0.9110576923076923,0.9100659493231517,0.9315789473684211,0.8805970149253731,0.9053708439897699,0.0005855689267280084
catboost,without_receiving_mail,13,ea_score|identity_rank|reputation_level|volume_score|result_number|email_days|is_valid|is_connected|personal_device|area_code|device_browser_type|ip_address_loc_country|type,0.9601584201396158,0.9521231054032165,0.9038461538461539,0.9024412819622816,0.9351351351351351,0.8606965174129353,0.8963730569948186,0.002532109621314893
